# RMS bottom Nusselt number for case BaRa7CT1
1.000000000000000021e-08 9.556068315935001278e-01
1.099999999999999791e-07 9.555949958579411652e-01
2.000000000000000704e-07 9.555654678803245927e-01
3.000000000000001452e-07 9.555326600876736798e-01
4.000000000000002466e-07 9.554998534222473028e-01
5.000000000000002950e-07 9.554670478816105206e-01
6.000000000000003964e-07 9.554342434692465469e-01
7.000000000000004977e-07 9.554014401837062076e-01
8.000000000000005991e-07 9.553686380232024877e-01
9.000000000000007004e-07 9.553358369909400460e-01
1.000000000000000378e-06 9.553030370850392750e-01
1.109999999999999325e-06 9.552669584877540032e-01
1.209999999999998368e-06 9.552341609463930183e-01
1.309999999999997410e-06 9.552013645320406310e-01
1.409999999999996453e-06 9.551685692426629126e-01
1.509999999999995495e-06 9.551357750804791991e-01
1.609999999999994538e-06 9.551029820445644525e-01
1.709999999999993580e-06 9.550701901335317823e-01
1.809999999999992623e-06 9.550373993498164626e-01
1.909999999999991877e-06 9.550046096918461958e-01
2.009999999999990920e-06 9.549718211589738326e-01
2.109999999999989962e-06 9.549390337533569806e-01
2.209999999999989005e-06 9.549062474727761929e-01
2.309999999999988048e-06 9.548734623175710867e-01
2.409999999999987090e-06 9.548406782890046518e-01
2.509999999999986133e-06 9.548078953858445406e-01
2.609999999999985175e-06 9.547751136076282341e-01
2.709999999999984218e-06 9.547423329559279193e-01
2.809999999999983260e-06 9.547095534294176566e-01
2.909999999999982303e-06 9.546767750279131493e-01
3.009999999999981346e-06 9.546439977526774978e-01
3.109999999999980388e-06 9.546112216019235763e-01
3.209999999999979431e-06 9.545784465770690286e-01
3.309999999999978473e-06 9.545456726774047551e-01
3.409999999999977516e-06 9.545128999023144711e-01
3.509999999999976558e-06 9.544801282530311903e-01
3.609999999999975601e-06 9.544473577288766775e-01
3.709999999999974643e-06 9.544145883288953636e-01
3.809999999999973686e-06 9.543818200545052255e-01
3.909999999999972729e-06 9.543490529049355464e-01
4.009999999999971771e-06 9.543162868795393994e-01
4.109999999999970814e-06 9.542835219796726998e-01
4.209999999999969856e-06 9.542507582040408165e-01
4.309999999999968899e-06 9.542179955523666379e-01
4.409999999999967941e-06 9.541852340259754373e-01
4.509999999999966984e-06 9.541524736235110771e-01
4.609999999999966027e-06 9.541197143446957796e-01
4.709999999999965069e-06 9.540869561906089036e-01
4.809999999999964112e-06 9.540541991599555960e-01
4.909999999999963154e-06 9.540214432523045351e-01
5.009999999999962197e-06 9.539886884686726853e-01
5.109999999999961239e-06 9.539559348073032297e-01
5.209999999999960282e-06 9.539231822689975271e-01
5.309999999999959324e-06 9.538904308528620701e-01
5.409999999999958367e-06 9.538576805574480177e-01
5.509999999999957410e-06 9.538249313832485310e-01
5.609999999999956452e-06 9.537921833288458551e-01
5.709999999999955495e-06 9.537594363918361351e-01
5.809999999999954537e-06 9.537266905720342969e-01
5.909999999999953580e-06 9.536939458663892255e-01
6.009999999999952622e-06 9.536612022703395697e-01
6.109999999999951665e-06 9.536284597821897968e-01
6.209999999999950708e-06 9.535957183937732173e-01
6.309999999999949750e-06 9.535629780943019052e-01
6.409999999999948793e-06 9.535302388762871839e-01
6.509999999999947835e-06 9.534975007195104491e-01
6.609999999999946878e-06 9.534647636047708374e-01
6.709999999999945920e-06 9.534320276719620013e-01
6.809999999999944963e-06 9.533992927557631836e-01
6.909999999999944005e-06 9.533665589071209645e-01
7.009999999999943048e-06 9.533338261753165899e-01
7.109999999999942091e-06 9.533010943993139863e-01
7.209999999999941133e-06 9.532683635713152803e-01
7.309999999999940176e-06 9.532356336164581334e-01
7.409999999999939218e-06 9.532029044490000214e-01
7.509283400024557356e-06 9.531702242525055269e-01
7.602985466606783374e-06 9.531387186148277957e-01
7.701487230541651657e-06 9.531058730942412183e-01
7.801777273227005285e-06 9.531099786072513291e-01
7.902060918343982635e-06 9.533736506764723950e-01
8.000009124861598650e-06 9.540112086042839001e-01
8.102671625624721771e-06 9.551625541587452917e-01
8.201828808397202840e-06 9.568435655691942543e-01
8.301453635061312164e-06 9.592771973431258870e-01
8.402315362172453828e-06 9.627477681950821209e-01
8.500800731512979456e-06 9.673081373808496419e-01
8.600392314650171191e-06 9.733219971951811988e-01
8.700376747956225013e-06 9.810343388422295696e-01
8.801398184320247383e-06 9.907511689236395691e-01
8.901882873761142405e-06 1.002628559870803127e+00
9.000631249779673519e-06 1.016729800020328867e+00
9.100911881805185899e-06 1.033634963409705065e+00
9.201458224234105492e-06 1.053413656933159137e+00
9.301550413017489142e-06 1.075876584589492424e+00
9.400669148655269714e-06 1.100605324657045303e+00
9.500985356111295887e-06 1.128013688052569963e+00
9.601565204740808334e-06 1.157488637775146323e+00
9.700942972720851481e-06 1.188083410233099935e+00
9.800945778246054901e-06 1.220070015811597575e+00
9.901803279110168852e-06 1.253099370572873239e+00
1.000136088010927153e-05 1.286136649063808202e+00
1.010120950969852905e-05 1.319507444656077277e+00
1.020127803920668675e-05 1.352901256115034201e+00
1.030121361482751751e-05 1.386058311561039424e+00
1.040067070525187810e-05 1.418745099865744042e+00
1.050173023312899174e-05 1.451504170212953637e+00
1.060184816288853066e-05 1.483442635781153873e+00
1.070082929986905049e-05 1.514440889349484509e+00
1.080088926082317606e-05 1.545144866693186625e+00
1.090202283517656646e-05 1.575477755631180976e+00
1.100068314795838849e-05 1.603894737769543166e+00
1.110068520516237017e-05 1.630940554374914031e+00
1.120270438625280370e-05 1.656550303865895524e+00
1.130191666949985062e-05 1.679394600162965823e+00
1.140100816656883764e-05 1.700250376711717415e+00
